Code,Description,Defined Category,Area,Type
31691,Stent graft thoracic aorta,Aortic Stent Grafting,Arterial Interventions,Aortic stent grafting
31692,Straight tube stent graft abdominal aorta,Aortic Stent Grafting,Arterial Interventions,Aortic stent grafting
31693,Aorto-uniateral-iliac-graft,Aortic Stent Grafting,Arterial Interventions,Aortic stent grafting
31694,Abdominal aortic stent graft w/bilateral iliac extension,Aortic Stent Grafting,Arterial Interventions,Aortic stent grafting
31695,Iliac artery repair with stent graft,Aortic Stent Grafting,Arterial Interventions,Aortic stent grafting
31652,PTA aorta,Arterial PTA or Stent,Arterial Interventions,Arterial PTA
31653,PTA lower extremity artery,Arterial PTA or Stent,Arterial Interventions,Arterial PTA
31654,PTA artery upper extremity,Arterial PTA or Stent,Arterial Interventions,Arterial PTA
31655,PTA artery neuro,Arterial PTA or Stent,Arterial Interventions,Arterial PTA
31656,PTA artery visceral,Arterial PTA or Stent,Arterial Interventions,Arterial PTA
31657,Atherectomy - aorta,Arterial PTA or Stent,Arterial Interventions,Arterial atherectomy
31658,Atherectomy - lower extremity artery,Arterial PTA or Stent,Arterial Interventions,Arterial atherectomy
31659,Atherectomy - upper extremity artery,Arterial PTA or Stent,Arterial Interventions,Arterial atherectomy
31660,Atherectomy - visceral artery,Arterial PTA or Stent,Arterial Interventions,Arterial atherectomy
31661,Stent - aorta,Arterial PTA or Stent,Arterial Interventions,Arterial stent
31662,Stent - lower extremity artery,Arterial PTA or Stent,Arterial Interventions,Arterial stent
31663,Stent - upper extremity artery,Arterial PTA or Stent,Arterial Interventions,Arterial stent
31664,Stent - neuro artery,Arterial PTA or Stent,Arterial Interventions,Arterial stent
31665,Stent - visceral artery,Arterial PTA or Stent,Arterial Interventions,Arterial stent
31759,Pulmonary artery PTA,Arterial PTA or Stent,Pulmonary Arterial Interventions,Pulmonary artery PTA
31760,Pulmonary artery stent,Arterial PTA or Stent,Pulmonary Arterial Interventions,Pulmonary artery stent
31686,Arterial vascular repair - pseudoaneurysm compression,Arterial vasc rep/closure; Other,Arterial Interventions,Arterial vascular repair
31687,Arterial vascular repair - other (excluding stent graft),Arterial vasc rep/closure; Other,Arterial Interventions,Arterial vascular repair
31688,Arterial vascular repair - pseudoaneurysm injection,Arterial vasc rep/closure; Other,Arterial Interventions,Arterial vascular repair
31689,Arterial vascular closure,Arterial vasc rep/closure; Other,Arterial Interventions,Arterial vascular closure
31630,Non-selective aortic angiogram,Arteriogram,Diagnostic Arteriography,Non-selective aortic angiogram
31631,Angio upper extremity selective,Arteriogram,Diagnostic Arteriography,Selective peripheral angiogram
31632,Angio lower extremity selective,Arteriogram,Diagnostic Arteriography,Selective peripheral angiogram
31633,Angio inominate/subclavian selective (proximal),Arteriogram,Diagnostic Arteriography,Selective neuro/spinal angiogram
31634,Angio lumbar artery selective,Arteriogram,Diagnostic Arteriography,Selective neuro/spinal angiogram
31635,Angio intercostal artery selective,Arteriogram,Diagnostic Arteriography,Selective neuro/spinal angiogram
31636,Angio bonchial selective,Arteriogram,Diagnostic Arteriography,Selective visceral angiogram
31637,Angio celiac selective - hepatic,Arteriogram,Diagnostic Arteriography,Selective visceral angiogram
31638,Angio celiac selective - splenic,Arteriogram,Diagnostic Arteriography,Selective visceral angiogram
31639,Angio celiac selective - left gastric,Arteriogram,Diagnostic Arteriography,Selective visceral angiogram
31640,Angio celiac selective - gastroduodenal artery,Arteriogram,Diagnostic Arteriography,Selective visceral angiogram
31641,Angio SMA selective,Arteriogram,Diagnostic Arteriography,Selective visceral angiogram
31642,Angio renal selective,Arteriogram,Diagnostic Arteriography,Selective visceral angiogram
31643,Angio hypogastric selective -uterine artery,Arteriogram,Diagnostic Arteriography,Selective visceral angiogram
31644,Angio hypogastric selective - vesical artery,Arteriogram,Diagnostic Arteriography,Selective visceral angiogram
31645,Angio hypogastric selective -internal pudendal artery,Arteriogram,Diagnostic Arteriography,Selective visceral angiogram
31646,Angio hypogastric selective -prostatic artery,Arteriogram,Diagnostic Arteriography,Selective visceral angiogram
31647,Angio hypogastric selective - obturator artery,Arteriogram,Diagnostic Arteriography,Selective visceral angiogram
31648,Angio hypogastric selective - inferior gluteal artery,Arteriogram,Diagnostic Arteriography,Selective visceral angiogram
31649,Angio hypogastric selective - superior gluteal artery,Arteriogram,Diagnostic Arteriography,Selective visceral angiogram
31650,Angio visceral other selective,Arteriogram,Diagnostic Arteriography,Selective visceral angiogram
31754,Pulmonary angio non-selective,Arteriogram,Pulmonary Arterial Interventions,Diagnostic pulmonary angiogram
31755,Pulmonary angio unilateral/bilateral selective,Arteriogram,Pulmonary Arterial Interventions,Diagnostic pulmonary angiogram
31757,Thrombolysis catheter check pulmonary artery,Arteriogram,Pulmonary Arterial Interventions,Thrombolysis catheter check pulmonary artery
31923,Facet blockade/injection,Arthrogram/joint asp/inj,MSK Procedures,Neuro blockade/injection
31936,Arthrogram - hip,Arthrogram/joint asp/inj,MSK Procedures,Arthrography
31937,Arthrogram - knee,Arthrogram/joint asp/inj,Musculoskeletal Interventions/Pain Management,Arthrography
31938,Arthrogram - ankle,Arthrogram/joint asp/inj,MSK Procedures,Arthrography
31939,Arthrogram - shoulder,Arthrogram/joint asp/inj,Musculoskeletal Interventions/Pain Management,Arthrography
31940,Arthrogram - elbow,Arthrogram/joint asp/inj,MSK Procedures,Arthrography
31941,Arthrogram - wrist,Arthrogram/joint asp/inj,Musculoskeletal Interventions/Pain Management,Arthrography
31942,Arthrogram - TMJ,Arthrogram/joint asp/inj,MSK Procedures,Arthrography
32929,Aspiration - joint/bursa,Arthrogram/joint asp/inj,MSK Procedures,Aspiration musculoskeletal
32930,Aspiration - soft tissue/extremity,Arthrogram/joint asp/inj,MSK Procedures,Aspiration musculoskeletal
32931,Injection - steroid/other,Arthrogram/joint asp/inj,MSK Procedures,Injection musculoskeletal
31889,Aspiration - thoracic parenchymal collection,Aspiration,Drainage Procedures,Fluid aspiration
